id,llm_error,varierr_error
113193n,"[""n"", ""e"", ""c""]","[""entailment""]"
120955n,"[""n"", ""e"", ""c""]","[""contradiction""]"
88188e,"[""n"", ""e"", ""c""]",[]
138966n,"[""n"", ""e"", ""c""]","[""contradiction""]"
48222n,"[""n"", ""e"", ""c""]",[]
18428n,"[""n"", ""e"", ""c""]",[]
116059n,"[""n"", ""e"", ""c""]",[]
67610c,"[""n"", ""e"", ""c""]",[]
95186n,"[""n"", ""e"", ""c""]",[]
77875e,"[""n"", ""e"", ""c""]",[]
65879c,[],[]
86331e,"[""n"", ""e"", ""c""]",[]
65130n,"[""n"", ""e"", ""c""]","[""contradiction""]"
19578n,"[""n"", ""c""]",[]
83657c,"[""e"", ""c""]",[]
102817c,"[""n"", ""e"", ""c""]","[""contradiction""]"
124590c,"[""n"", ""c""]",[]
96583n,"[""n"", ""e"", ""c""]",[]
132525n,"[""n"", ""e"", ""c""]",[]
11362e,"[""n"", ""e"", ""c""]",[]
107468n,"[""n"", ""e"", ""c""]","[""entailment""]"
145047e,"[""n"", ""e"", ""c""]",[]
55888c,"[""n"", ""e"", ""c""]",[]
138285n,"[""n"", ""e"", ""c""]",[]
57454c,"[""e"", ""c""]",[]
88605n,"[""n"", ""e"", ""c""]",[]
72721e,"[""n"", ""e"", ""c""]",[]
49611e,"[""n"", ""e"", ""c""]",[]
16989c,"[""n"", ""c""]","[""contradiction""]"
112349c,"[""n"", ""e"", ""c""]","[""neutral""]"
119768n,"[""n"", ""e"", ""c""]","[""entailment""]"
111680e,"[""n"", ""e"", ""c""]",[]
43440n,"[""n"", ""e"", ""c""]",[]
91709c,"[""n"", ""e""]",[]
47798n,"[""n""]",[]
103364n,"[""n"", ""e"", ""c""]",[]
49462c,"[""n"", ""e"", ""c""]","[""contradiction""]"
97011c,"[""n"", ""e"", ""c""]",[]
56743e,"[""n"", ""e"", ""c""]",[]
48300c,"[""n"", ""e"", ""c""]",[]
105769c,"[""n"", ""e"", ""c""]",[]
53866e,"[""n"", ""e"", ""c""]","[""entailment""]"
136752e,"[""n"", ""e"", ""c""]",[]
14388e,"[""n"", ""e"", ""c""]","[""entailment""]"
103559e,"[""n"", ""e"", ""c""]",[]
132019n,"[""n"", ""e"", ""c""]",[]
118999n,"[""n"", ""e"", ""c""]","[""entailment""]"
47404e,"[""n"", ""e"", ""c""]","[""entailment""]"
30171n,"[""n"", ""e"", ""c""]",[]
134514c,[],[]
52542n,"[""n"", ""e"", ""c""]","[""contradiction""]"
47408n,"[""n"", ""e"", ""c""]","[""neutral""]"
135021n,"[""n"", ""e"", ""c""]","[""entailment""]"
88605e,"[""n"", ""c""]",[]
98710n,"[""n"", ""e"", ""c""]",[]
30894c,"[""n"", ""e"", ""c""]",[]
81356e,"[""n"", ""c""]",[]
132516n,"[""n"", ""c""]","[""entailment""]"
34176n,"[""n"", ""e"", ""c""]",[]
77116e,"[""n"", ""c""]",[]
76947n,"[""n"", ""e""]",[]
139635n,"[""n"", ""e"", ""c""]",[]
101245n,"[""n"", ""e"", ""c""]",[]
8545c,"[""n"", ""c""]","[""neutral""]"
8219n,"[""n"", ""e"", ""c""]","[""entailment""]"
115247c,"[""n"", ""e"", ""c""]",[]
99708e,"[""n"", ""e"", ""c""]",[]
82415n,"[""n"", ""e"", ""c""]","[""contradiction""]"
82700c,"[""n"", ""e"", ""c""]",[]
1073c,"[""n"", ""e"", ""c""]",[]
120149c,"[""n"", ""e"", ""c""]",[]
124037n,"[""n"", ""c""]","[""entailment""]"
92062c,"[""n""]",[]
131235c,"[""n"", ""e"", ""c""]",[]
46820e,"[""n"", ""e"", ""c""]","[""contradiction""]"
77590c,"[""n"", ""e"", ""c""]",[]
128542e,"[""n"", ""e"", ""c""]","[""entailment""]"
74768e,"[""c""]",[]
122928e,"[""n"", ""c""]","[""entailment""]"
139409e,"[""n"", ""e"", ""c""]",[]
59208n,"[""n"", ""e"", ""c""]",[]
133597n,"[""n"", ""c""]",[]
80517e,"[""n"", ""e"", ""c""]",[]
93236c,"[""n"", ""c""]",[]
142643c,"[""n"", ""e"", ""c""]",[]
31113e,"[""n"", ""e"", ""c""]",[]
34776c,"[""n"", ""e"", ""c""]","[""contradiction""]"
121422c,"[""n"", ""e"", ""c""]",[]
104805e,"[""n"", ""e"", ""c""]",[]
115821n,"[""n"", ""e"", ""c""]",[]
80630e,[],"[""contradiction""]"
138862c,"[""n"", ""e"", ""c""]",[]
105179c,"[""n"", ""e"", ""c""]",[]
109876n,"[""n"", ""e"", ""c""]",[]
65353n,"[""n"", ""e"", ""c""]",[]
16494c,"[""n"", ""c""]",[]
60732n,"[""n"", ""e"", ""c""]",[]
88646c,"[""e"", ""c""]",[]
53074n,"[""n"", ""e"", ""c""]",[]
61818n,"[""n"", ""c""]",[]
46003n,"[""n"", ""e"", ""c""]",[]
6386n,"[""n"", ""e"", ""c""]",[]
98739n,"[""n"", ""e"", ""c""]",[]
108624c,[],[]
106013c,"[""n""]","[""entailment""]"
37407n,"[""n"", ""e"", ""c""]",[]
70590c,"[""n"", ""e"", ""c""]",[]
23901e,"[""n"", ""e"", ""c""]",[]
23280n,"[""n"", ""e"", ""c""]",[]
135247c,"[""n"", ""c""]",[]
58357c,"[""n"", ""c""]",[]
19803e,"[""n"", ""e"", ""c""]",[]
144753n,"[""n"", ""e"", ""c""]",[]
15100e,"[""n"", ""e"", ""c""]",[]
28507n,"[""n"", ""e"", ""c""]",[]
123748n,"[""n"", ""e"", ""c""]",[]
111338c,"[""n"", ""c""]",[]
52171c,"[""n"", ""c""]",[]
90548e,"[""n"", ""e"", ""c""]",[]
81842c,"[""n"", ""e"", ""c""]",[]
91601n,"[""n"", ""e"", ""c""]",[]
118415n,"[""n"", ""e"", ""c""]",[]
113644n,"[""n"", ""e"", ""c""]",[]
47260n,"[""n"", ""c""]",[]
129081e,"[""n"", ""e"", ""c""]",[]
18189e,"[""n"", ""e"", ""c""]",[]
91797c,"[""n"", ""c""]",[]
917c,"[""n"", ""e"", ""c""]",[]
89995c,"[""n"", ""e"", ""c""]","[""entailment""]"
33822e,"[""n"", ""e"", ""c""]",[]
42983e,"[""n"", ""e"", ""c""]",[]
6105e,"[""n"", ""c""]",[]
26143n,"[""n"", ""e"", ""c""]",[]
100768n,"[""n"", ""c""]",[]
82510e,"[""n"", ""e"", ""c""]",[]
102563n,"[""n"", ""e"", ""c""]",[]
48553c,"[""n"", ""c""]",[]
54458n,"[""n"", ""e"", ""c""]",[]
17576n,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
103431n,"[""n"", ""e"", ""c""]",[]
64123c,"[""n"", ""e"", ""c""]","[""contradiction""]"
56163c,"[""n"", ""e"", ""c""]",[]
11297c,"[""n"", ""e"", ""c""]","[""neutral""]"
32889n,"[""n"", ""c""]",[]
19c,"[""n""]",[]
32754e,"[""n"", ""e"", ""c""]",[]
12815n,"[""n"", ""e"", ""c""]",[]
135898c,"[""n"", ""e"", ""c""]","[""contradiction""]"
82830n,[],[]
74509n,"[""n"", ""e"", ""c""]",[]
98944c,"[""n"", ""e"", ""c""]",[]
19208c,"[""n"", ""e"", ""c""]",[]
117576e,"[""n"", ""e"", ""c""]",[]
50484c,[],[]
98445c,"[""n"", ""e"", ""c""]","[""contradiction""]"
7856c,"[""n"", ""e"", ""c""]",[]
8257n,"[""n"", ""e"", ""c""]",[]
141110n,"[""n"", ""e"", ""c""]","[""entailment""]"
84055n,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
143789n,"[""n"", ""e"", ""c""]",[]
13911n,"[""n"", ""c""]","[""contradiction""]"
122062n,"[""n"", ""e"", ""c""]",[]
49396e,"[""n"", ""e"", ""c""]",[]
73444n,"[""n"", ""e"", ""c""]",[]
79106e,"[""n"", ""e"", ""c""]",[]
82230e,"[""n"", ""e"", ""c""]",[]
14280n,"[""n"", ""e"", ""c""]",[]
19668c,"[""n"", ""c""]","[""neutral""]"
12562n,"[""n"", ""c""]","[""entailment""]"
111693e,"[""n"", ""e"", ""c""]","[""entailment""]"
124839c,"[""n"", ""e"", ""c""]",[]
72870n,"[""n"", ""e"", ""c""]",[]
129601n,"[""n"", ""e"", ""c""]",[]
26372n,"[""n"", ""c""]","[""entailment""]"
74534n,"[""n"", ""e"", ""c""]",[]
63469c,"[""n"", ""e"", ""c""]",[]
141321n,"[""n"", ""e"", ""c""]",[]
68946c,"[""n"", ""c""]",[]
41975c,"[""n"", ""e"", ""c""]",[]
100349e,"[""n"", ""e"", ""c""]",[]
107399c,"[""n"", ""c""]",[]
131623c,"[""n"", ""e"", ""c""]","[""contradiction""]"
58954c,"[""n"", ""c""]",[]
74377e,"[""n"", ""e"", ""c""]",[]
130680e,"[""n"", ""e"", ""c""]",[]
49227n,"[""n"", ""e"", ""c""]",[]
124853e,"[""n"", ""c""]","[""contradiction""]"
117892n,"[""n"", ""e"", ""c""]",[]
111243n,"[""n"", ""c""]",[]
77654e,"[""n""]",[]
110061n,"[""n"", ""e"", ""c""]",[]
29844c,"[""n"", ""e"", ""c""]",[]
27335e,"[""n"", ""e"", ""c""]",[]
87332c,"[""n"", ""c""]","[""entailment""]"
53499c,"[""n"", ""e"", ""c""]","[""entailment""]"
65199n,"[""n"", ""e"", ""c""]",[]
88050c,[],[]
34094e,"[""n"", ""c""]",[]
72875e,"[""n"", ""e"", ""c""]",[]
19921n,"[""n"", ""e"", ""c""]",[]
23583e,"[""n"", ""c""]",[]
91106n,"[""n"", ""c""]",[]
9557e,"[""n"", ""e"", ""c""]","[""entailment""]"
15537n,"[""n"", ""e"", ""c""]","[""entailment""]"
3476n,"[""n""]",[]
56124n,"[""n"", ""e"", ""c""]","[""entailment""]"
5193n,"[""n"", ""e"", ""c""]",[]
106390n,"[""n"", ""e"", ""c""]",[]
54327n,"[""n"", ""e"", ""c""]",[]
2870n,"[""n"", ""e"", ""c""]",[]
63218n,"[""n"", ""e"", ""c""]",[]
144753c,"[""n"", ""c""]",[]
73191n,"[""n"", ""e"", ""c""]","[""contradiction""]"
62273n,"[""n"", ""e"", ""c""]",[]
58016c,"[""n"", ""c""]",[]
45605n,"[""n"", ""e"", ""c""]",[]
82174e,"[""n"", ""e"", ""c""]",[]
123703e,"[""n"", ""c""]",[]
127410n,"[""n"", ""e"", ""c""]",[]
55572n,"[""n"", ""e"", ""c""]",[]
45774c,"[""n"", ""e"", ""c""]","[""contradiction""]"
130869n,"[""n"", ""c""]",[]
93955n,"[""n"", ""e"", ""c""]","[""entailment""]"
72870c,[],"[""contradiction"", ""entailment""]"
77025c,"[""n"", ""e"", ""c""]",[]
69975n,"[""n"", ""e"", ""c""]",[]
125238c,"[""n"", ""e""]",[]
27022c,"[""n"", ""e"", ""c""]",[]
66689c,[],"[""neutral""]"
112547n,"[""n"", ""c""]","[""entailment""]"
129081n,"[""n"", ""e"", ""c""]",[]
45306n,"[""n"", ""e"", ""c""]",[]
76957c,"[""n"", ""e"", ""c""]",[]
2262n,"[""n"", ""e"", ""c""]","[""entailment""]"
40710n,"[""n"", ""e"", ""c""]",[]
21957n,"[""n"", ""e"", ""c""]",[]
14126e,"[""n"", ""e"", ""c""]",[]
79013n,"[""n"", ""e""]","[""entailment"", ""neutral""]"
38156n,"[""n"", ""e"", ""c""]",[]
25304n,"[""n"", ""c""]","[""neutral""]"
111338e,"[""n"", ""c""]",[]
75259c,"[""n"", ""c""]","[""contradiction""]"
53211n,"[""n"", ""c""]","[""entailment""]"
123267e,"[""n"", ""e"", ""c""]",[]
80808n,"[""n"", ""e"", ""c""]","[""neutral""]"
72740c,"[""n"", ""e"", ""c""]",[]
71251n,"[""n"", ""c""]",[]
117680c,[],[]
80930n,"[""n"", ""e"", ""c""]",[]
98844n,"[""n"", ""e"", ""c""]",[]
127073c,"[""n"", ""c""]","[""contradiction""]"
61216c,"[""n"", ""e"", ""c""]",[]
102857n,"[""n"", ""e"", ""c""]","[""contradiction""]"
133243e,"[""n"", ""e"", ""c""]",[]
144408n,"[""n"", ""c""]",[]
104412e,"[""n"", ""c""]","[""contradiction""]"
129601e,"[""n"", ""e"", ""c""]",[]
62238e,"[""n"", ""e"", ""c""]","[""entailment""]"
51353e,"[""n"", ""e"", ""c""]",[]
108027n,"[""n"", ""e"", ""c""]",[]
95883e,"[""n"", ""e""]",[]
26495e,"[""n"", ""e"", ""c""]",[]
67836n,"[""n"", ""e"", ""c""]",[]
21340n,"[""n"", ""e"", ""c""]","[""contradiction""]"
114971e,"[""n"", ""e"", ""c""]",[]
103354n,"[""n"", ""c""]","[""contradiction""]"
11971n,"[""n"", ""c""]",[]
83722e,"[""n"", ""e"", ""c""]",[]
38527n,"[""n"", ""e"", ""c""]",[]
59934n,"[""n"", ""c""]","[""entailment""]"
10916n,"[""n"", ""e"", ""c""]",[]
34043c,"[""n"", ""e"", ""c""]","[""contradiction""]"
117089n,"[""n"", ""e"", ""c""]",[]
121910c,"[""n"", ""e"", ""c""]",[]
113668n,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
128176e,"[""n"", ""e"", ""c""]","[""entailment""]"
122322e,"[""n"", ""e"", ""c""]",[]
53619c,[],"[""entailment""]"
27287c,"[""n"", ""c""]",[]
125700e,"[""n"", ""e"", ""c""]",[]
96946n,"[""n"", ""e"", ""c""]",[]
17660e,"[""n"", ""e"", ""c""]",[]
107252c,"[""n"", ""e"", ""c""]",[]
113967e,"[""n"", ""e"", ""c""]",[]
129464c,"[""n"", ""e"", ""c""]",[]
82528c,"[""n"", ""e"", ""c""]","[""entailment""]"
134356n,"[""n"", ""e"", ""c""]",[]
102075c,"[""n"", ""e"", ""c""]",[]
96956c,"[""n"", ""e"", ""c""]",[]
24163e,"[""n"", ""e"", ""c""]",[]
31775c,"[""n""]",[]
8487n,"[""n"", ""e"", ""c""]","[""neutral""]"
46576e,"[""n"", ""e"", ""c""]",[]
83247e,"[""n"", ""e"", ""c""]",[]
80109n,"[""n"", ""e"", ""c""]","[""neutral""]"
52854n,"[""n"", ""e"", ""c""]",[]
133274n,"[""n"", ""e"", ""c""]",[]
120070n,"[""n"", ""e"", ""c""]",[]
129185n,"[""n"", ""e"", ""c""]",[]
49172n,"[""n"", ""e"", ""c""]",[]
140782c,"[""n"", ""c""]",[]
45443c,"[""n"", ""e"", ""c""]",[]
22938e,"[""n"", ""e"", ""c""]",[]
67571c,"[""n"", ""c""]",[]
5087e,"[""n"", ""e"", ""c""]",[]
23769n,"[""n"", ""e"", ""c""]",[]
13760n,"[""n"", ""e"", ""c""]",[]
2133n,"[""n"", ""c""]",[]
117093n,"[""n"", ""e"", ""c""]",[]
112402c,"[""n"", ""e"", ""c""]",[]
32754n,"[""n"", ""e"", ""c""]","[""contradiction""]"
120896n,"[""n"", ""e"", ""c""]","[""neutral""]"
25437n,"[""n"", ""e"", ""c""]",[]
56895c,"[""n"", ""c""]",[]
43094c,"[""n"", ""c""]",[]
21834e,"[""n"", ""e"", ""c""]","[""neutral""]"
139836n,"[""n"", ""e"", ""c""]","[""neutral""]"
57454e,"[""n"", ""e"", ""c""]",[]
34573n,"[""n"", ""e"", ""c""]","[""contradiction""]"
52278e,"[""n"", ""e"", ""c""]",[]
11618c,"[""c""]",[]
118460n,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
54383c,"[""n"", ""c""]",[]
123751n,"[""n"", ""e"", ""c""]",[]
43891n,[],[]
113039e,"[""n"", ""e"", ""c""]",[]
83900e,"[""n"", ""c""]",[]
10119e,"[""n"", ""e"", ""c""]","[""entailment""]"
21810n,"[""n"", ""e"", ""c""]",[]
35700c,"[""n"", ""c""]",[]
109278n,"[""n"", ""c""]","[""neutral""]"
138530e,"[""n"", ""e"", ""c""]","[""contradiction""]"
13387e,"[""n"", ""e"", ""c""]",[]
58557e,"[""n"", ""c""]",[]
36811c,"[""n"", ""e"", ""c""]",[]
73840n,"[""n"", ""e"", ""c""]",[]
31249e,"[""n"", ""e"", ""c""]",[]
91913n,"[""n"", ""e"", ""c""]","[""contradiction""]"
100895c,"[""n"", ""e"", ""c""]",[]
837n,"[""n"", ""c""]",[]
140005c,[],[]
38475c,"[""n"", ""e"", ""c""]",[]
141293e,"[""n"", ""e"", ""c""]",[]
30139n,"[""n"", ""e"", ""c""]",[]
30380c,"[""n""]","[""entailment""]"
22436n,"[""n"", ""e"", ""c""]",[]
76037n,"[""n"", ""e"", ""c""]","[""contradiction""]"
28456n,"[""n"", ""c""]",[]
46198c,"[""n"", ""e"", ""c""]",[]
100136e,"[""n"", ""e"", ""c""]",[]
24103n,"[""n"", ""e"", ""c""]",[]
142729c,"[""n"", ""c""]",[]
96516e,"[""n"", ""c""]",[]
52761e,"[""n"", ""c""]",[]
21297n,"[""n"", ""e"", ""c""]",[]
98487c,"[""n"", ""e"", ""c""]",[]
17179n,"[""n"", ""e"", ""c""]",[]
132539e,"[""n"", ""e"", ""c""]",[]
23642n,"[""n"", ""e"", ""c""]",[]
84781e,"[""n"", ""e"", ""c""]",[]
15771c,"[""n"", ""c""]",[]
134655c,[],[]
33822n,"[""n"", ""e"", ""c""]",[]
125021c,"[""n"", ""c""]",[]
133005n,"[""n"", ""e"", ""c""]",[]
65650e,"[""n"", ""e"", ""c""]",[]
3545n,"[""e"", ""c""]",[]
105196n,"[""n"", ""e"", ""c""]",[]
144753e,"[""n"", ""e"", ""c""]",[]
114458e,"[""n"", ""c""]","[""neutral""]"
49237c,"[""n"", ""e"", ""c""]",[]
70047c,"[""n"", ""e"", ""c""]",[]
137319n,"[""n"", ""e"", ""c""]",[]
63013n,"[""n"", ""e"", ""c""]",[]
79507e,"[""n"", ""e"", ""c""]",[]
121910e,"[""n"", ""c""]","[""contradiction""]"
120323n,"[""n"", ""e"", ""c""]",[]
50480n,"[""n"", ""e"", ""c""]","[""entailment""]"
123027n,"[""n"", ""e"", ""c""]",[]
85279n,"[""n"", ""e"", ""c""]",[]
121360c,"[""n"", ""e"", ""c""]","[""contradiction""]"
56582n,"[""n"", ""e"", ""c""]",[]
46650n,"[""n"", ""e""]",[]
81579e,"[""n"", ""c""]","[""contradiction""]"
23414c,"[""n"", ""e"", ""c""]",[]
36715e,"[""n"", ""e"", ""c""]",[]
114492n,"[""n"", ""c""]",[]
136097n,"[""n"", ""e"", ""c""]",[]
101253c,"[""n"", ""e"", ""c""]",[]
97520e,"[""n"", ""e"", ""c""]",[]
97569e,"[""n"", ""e"", ""c""]",[]
23751c,"[""n"", ""c""]",[]
103169n,"[""n"", ""c""]","[""contradiction"", ""neutral""]"
134217e,"[""n"", ""c""]","[""entailment"", ""neutral""]"
11601n,"[""n"", ""e"", ""c""]",[]
46059c,"[""n"", ""e"", ""c""]","[""entailment""]"
82156e,"[""n"", ""e"", ""c""]",[]
30894n,"[""n"", ""e"", ""c""]",[]
122645n,"[""n"", ""e"", ""c""]","[""contradiction""]"
26142n,"[""n"", ""e"", ""c""]",[]
66225n,"[""n"", ""e"", ""c""]",[]
134103n,"[""n"", ""e"", ""c""]",[]
117177n,"[""n"", ""e"", ""c""]",[]
78105e,"[""n"", ""c""]",[]
23280e,"[""n"", ""e"", ""c""]",[]
9393n,"[""n"", ""e"", ""c""]","[""contradiction""]"
82510c,"[""n"", ""e"", ""c""]","[""neutral""]"
14459n,"[""n"", ""e"", ""c""]",[]
70711c,"[""n"", ""e"", ""c""]",[]
77893n,"[""n"", ""e"", ""c""]","[""contradiction""]"
20181n,"[""n"", ""e"", ""c""]",[]
137715n,"[""n"", ""e"", ""c""]",[]
109679n,"[""n"", ""c""]","[""neutral""]"
123891c,"[""n"", ""e"", ""c""]",[]
16086n,"[""n"", ""e"", ""c""]",[]
91650n,"[""n"", ""e"", ""c""]",[]
85428e,"[""n"", ""c""]",[]
118403n,"[""n"", ""e"", ""c""]",[]
105561e,"[""n"", ""c""]","[""entailment""]"
11303n,"[""n"", ""e"", ""c""]",[]
11534n,"[""n"", ""e"", ""c""]",[]
46198n,"[""n"", ""e"", ""c""]",[]
125013e,"[""n"", ""e"", ""c""]",[]
44747n,"[""n""]",[]
19768c,"[""n"", ""e"", ""c""]",[]
53468n,"[""n"", ""e"", ""c""]","[""contradiction""]"
136752n,"[""n"", ""e"", ""c""]","[""entailment""]"
10724n,"[""n"", ""e"", ""c""]",[]
17753n,"[""n"", ""e"", ""c""]",[]
130928n,"[""n"", ""e"", ""c""]",[]
66858n,"[""n"", ""e"", ""c""]",[]
28601n,"[""n"", ""e"", ""c""]",[]
92774n,"[""n"", ""c""]",[]
142604e,"[""n"", ""c""]","[""contradiction""]"
42860n,"[""n"", ""e"", ""c""]",[]
77299n,"[""n"", ""e"", ""c""]",[]
13765c,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
139362e,"[""n"", ""c""]","[""entailment""]"
116176c,[],"[""contradiction""]"
110234e,"[""n"", ""c""]","[""contradiction""]"
84781c,"[""n"", ""e"", ""c""]","[""contradiction""]"
41052n,"[""n"", ""e"", ""c""]",[]
128160n,"[""n"", ""e"", ""c""]",[]
123038e,"[""n"", ""e"", ""c""]",[]
98621n,"[""n"", ""e"", ""c""]",[]
97926c,"[""n"", ""e"", ""c""]",[]
98561e,"[""n"", ""e"", ""c""]",[]
86429n,"[""n"", ""e"", ""c""]",[]
105911c,"[""n"", ""e"", ""c""]",[]
126486n,"[""n"", ""e"", ""c""]",[]
127809n,"[""n"", ""e"", ""c""]",[]
28306c,"[""n"", ""e"", ""c""]","[""entailment""]"
