folder,file,original_count,retained_count,reduction_rate
56163c,N_0.txt,3,3,0.0
56163c,C_0.txt,4,4,0.0
57454c,E_0.txt,1,1,0.0
57454c,N_0.txt,1,1,0.0
57454c,C_0.txt,2,2,0.0
125013e,E_0.txt,2,2,0.0
125013e,N_0.txt,2,2,0.0
125013e,C_0.txt,1,1,0.0
58357c,E_0.txt,5,5,0.0
58357c,N_0.txt,2,2,0.0
58357c,C_0.txt,3,3,0.0
16494c,E_0.txt,0,0,0.0
16494c,N_0.txt,3,3,0.0
16494c,C_0.txt,2,2,0.0
77116e,E_0.txt,1,1,0.0
77116e,N_0.txt,3,3,0.0
77116e,C_0.txt,3,3,0.0
104805e,E_0.txt,5,5,0.0
104805e,N_0.txt,3,3,0.0
104805e,C_0.txt,2,2,0.0
53866e,E_0.txt,4,4,0.0
53866e,N_0.txt,3,3,0.0
53866e,C_0.txt,3,3,0.0
26372n,E_0.txt,4,4,0.0
26372n,N_0.txt,2,2,0.0
26372n,C_0.txt,1,1,0.0
13387e,E_0.txt,1,1,0.0
13387e,N_0.txt,2,2,0.0
13387e,C_0.txt,2,2,0.0
63218n,E_0.txt,4,4,0.0
63218n,N_0.txt,2,2,0.0
63218n,C_0.txt,3,3,0.0
54458n,E_0.txt,3,3,0.0
54458n,N_0.txt,3,3,0.0
54458n,C_0.txt,2,2,0.0
15100e,E_0.txt,3,3,0.0
15100e,N_0.txt,2,2,0.0
15100e,C_0.txt,2,2,0.0
19c,E_0.txt,1,1,0.0
19c,N_0.txt,3,3,0.0
19c,C_0.txt,3,3,0.0
52171c,E_0.txt,0,0,0.0
52171c,N_0.txt,2,2,0.0
52171c,C_0.txt,2,2,0.0
101525c,E_0.txt,3,3,0.0
101525c,N_0.txt,3,3,0.0
101525c,C_0.txt,2,2,0.0
98561e,E_0.txt,3,3,0.0
98561e,N_0.txt,3,3,0.0
98561e,C_0.txt,2,2,0.0
46650n,E_0.txt,1,1,0.0
46650n,N_0.txt,4,4,0.0
46650n,C_0.txt,2,2,0.0
43891n,E_0.txt,0,0,0.0
43891n,N_0.txt,3,3,0.0
43891n,C_0.txt,2,2,0.0
91650n,E_0.txt,3,3,0.0
91650n,N_0.txt,3,3,0.0
91650n,C_0.txt,5,5,0.0
109278n,E_0.txt,3,3,0.0
109278n,N_0.txt,3,3,0.0
109278n,C_0.txt,4,4,0.0
103169n,E_0.txt,5,5,0.0
103169n,N_0.txt,3,3,0.0
103169n,C_0.txt,4,4,0.0
62238e,E_0.txt,4,4,0.0
62238e,N_0.txt,5,5,0.0
62238e,C_0.txt,4,4,0.0
46198c,E_0.txt,5,5,0.0
46198c,N_0.txt,2,2,0.0
46198c,C_0.txt,3,3,0.0
142604e,E_0.txt,0,0,0.0
142604e,N_0.txt,5,5,0.0
142604e,C_0.txt,5,5,0.0
77590c,E_0.txt,3,3,0.0
77590c,N_0.txt,4,4,0.0
77590c,C_0.txt,4,4,0.0
83900e,E_0.txt,1,1,0.0
83900e,N_0.txt,3,3,0.0
83900e,C_0.txt,2,2,0.0
837n,E_0.txt,4,4,0.0
837n,N_0.txt,3,3,0.0
837n,C_0.txt,4,4,0.0
16989c,E_0.txt,0,0,0.0
16989c,N_0.txt,3,3,0.0
16989c,C_0.txt,3,3,0.0
23769n,E_0.txt,3,3,0.0
23769n,N_0.txt,2,2,0.0
23769n,C_0.txt,3,3,0.0
80109n,E_0.txt,3,3,0.0
80109n,N_0.txt,4,4,0.0
80109n,C_0.txt,4,4,0.0
84781e,E_0.txt,3,3,0.0
84781e,N_0.txt,3,3,0.0
84781e,C_0.txt,3,3,0.0
118415n,E_0.txt,3,3,0.0
118415n,N_0.txt,1,1,0.0
118415n,C_0.txt,4,4,0.0
72875e,E_0.txt,4,4,0.0
72875e,N_0.txt,3,3,0.0
72875e,C_0.txt,2,2,0.0
128160n,E_0.txt,2,2,0.0
128160n,N_0.txt,2,2,0.0
128160n,C_0.txt,3,3,0.0
46003n,E_0.txt,4,4,0.0
46003n,N_0.txt,4,4,0.0
46003n,C_0.txt,5,5,0.0
26495e,E_0.txt,7,7,0.0
26495e,N_0.txt,4,4,0.0
26495e,C_0.txt,4,4,0.0
83247e,E_0.txt,3,3,0.0
83247e,N_0.txt,1,1,0.0
83247e,C_0.txt,2,2,0.0
122062n,E_0.txt,4,4,0.0
122062n,N_0.txt,3,3,0.0
122062n,C_0.txt,3,3,0.0
89995c,E_0.txt,4,4,0.0
89995c,N_0.txt,2,2,0.0
89995c,C_0.txt,3,3,0.0
97926c,E_0.txt,1,1,0.0
97926c,N_0.txt,3,3,0.0
97926c,C_0.txt,3,3,0.0
49807n,E_0.txt,0,0,0.0
49807n,N_0.txt,2,2,0.0
49807n,C_0.txt,3,3,0.0
95186n,E_0.txt,5,5,0.0
95186n,N_0.txt,4,4,0.0
95186n,C_0.txt,3,3,0.0
129601e,E_0.txt,3,3,0.0
129601e,N_0.txt,2,2,0.0
129601e,C_0.txt,3,3,0.0
66225n,E_0.txt,1,1,0.0
66225n,N_0.txt,4,4,0.0
66225n,C_0.txt,3,3,0.0
97520e,E_0.txt,1,1,0.0
97520e,N_0.txt,3,3,0.0
97520e,C_0.txt,2,2,0.0
37407n,E_0.txt,1,1,0.0
37407n,N_0.txt,4,4,0.0
37407n,C_0.txt,3,3,0.0
41052n,E_0.txt,3,3,0.0
41052n,N_0.txt,3,3,0.0
41052n,C_0.txt,3,3,0.0
97569e,E_0.txt,1,1,0.0
97569e,N_0.txt,2,2,0.0
97569e,C_0.txt,2,2,0.0
102817c,E_0.txt,0,0,0.0
102817c,N_0.txt,3,3,0.0
102817c,C_0.txt,2,2,0.0
139409e,E_0.txt,1,1,0.0
139409e,N_0.txt,3,3,0.0
139409e,C_0.txt,3,3,0.0
57454e,E_0.txt,3,3,0.0
57454e,N_0.txt,4,4,0.0
57454e,C_0.txt,3,3,0.0
66689c,E_0.txt,0,0,0.0
66689c,N_0.txt,1,1,0.0
66689c,C_0.txt,1,1,0.0
123703e,E_0.txt,0,0,0.0
123703e,N_0.txt,3,3,0.0
123703e,C_0.txt,3,3,0.0
34573n,E_0.txt,5,5,0.0
34573n,N_0.txt,3,3,0.0
34573n,C_0.txt,3,3,0.0
133243e,E_0.txt,1,1,0.0
133243e,N_0.txt,3,3,0.0
133243e,C_0.txt,3,3,0.0
40710n,E_0.txt,4,4,0.0
40710n,N_0.txt,4,4,0.0
40710n,C_0.txt,2,2,0.0
114971e,E_0.txt,3,3,0.0
114971e,N_0.txt,2,2,0.0
114971e,C_0.txt,2,2,0.0
80517e,E_0.txt,2,2,0.0
80517e,N_0.txt,5,5,0.0
80517e,C_0.txt,1,1,0.0
30139n,E_0.txt,2,2,0.0
30139n,N_0.txt,3,3,0.0
30139n,C_0.txt,3,3,0.0
54327n,E_0.txt,2,2,0.0
54327n,N_0.txt,3,3,0.0
54327n,C_0.txt,3,3,0.0
120070n,E_0.txt,3,3,0.0
120070n,N_0.txt,2,2,0.0
120070n,C_0.txt,3,3,0.0
63013n,E_0.txt,4,4,0.0
63013n,N_0.txt,3,3,0.0
63013n,C_0.txt,4,4,0.0
144753n,E_0.txt,3,3,0.0
144753n,N_0.txt,3,3,0.0
144753n,C_0.txt,2,2,0.0
101253c,E_0.txt,1,1,0.0
101253c,N_0.txt,1,1,0.0
101253c,C_0.txt,1,1,0.0
917c,E_0.txt,1,1,0.0
917c,N_0.txt,8,8,0.0
917c,C_0.txt,6,6,0.0
132516n,E_0.txt,0,0,0.0
132516n,N_0.txt,3,3,0.0
132516n,C_0.txt,3,3,0.0
79106e,E_0.txt,3,3,0.0
79106e,N_0.txt,2,2,0.0
79106e,C_0.txt,4,4,0.0
38477c,E_0.txt,0,0,0.0
38477c,N_0.txt,2,2,0.0
38477c,C_0.txt,3,3,0.0
53074n,E_0.txt,1,1,0.0
53074n,N_0.txt,2,2,0.0
53074n,C_0.txt,2,2,0.0
76947n,E_0.txt,1,1,0.0
76947n,N_0.txt,2,2,0.0
76947n,C_0.txt,3,3,0.0
82230e,E_0.txt,3,3,0.0
82230e,N_0.txt,2,2,0.0
82230e,C_0.txt,4,4,0.0
138966n,E_0.txt,7,7,0.0
138966n,N_0.txt,5,5,0.0
138966n,C_0.txt,5,5,0.0
40486n,E_0.txt,3,3,0.0
40486n,N_0.txt,4,4,0.0
40486n,C_0.txt,3,3,0.0
21810n,E_0.txt,3,3,0.0
21810n,N_0.txt,2,2,0.0
21810n,C_0.txt,2,2,0.0
77875e,E_0.txt,4,4,0.0
77875e,N_0.txt,5,5,0.0
77875e,C_0.txt,3,3,0.0
104412e,E_0.txt,1,1,0.0
104412e,N_0.txt,3,3,0.0
104412e,C_0.txt,2,2,0.0
23751e,E_0.txt,4,4,0.0
23751e,N_0.txt,3,3,0.0
23751e,C_0.txt,2,2,0.0
42388e,E_0.txt,3,3,0.0
42388e,N_0.txt,3,3,0.0
42388e,C_0.txt,3,3,0.0
113668n,E_0.txt,5,5,0.0
113668n,N_0.txt,3,3,0.0
113668n,C_0.txt,3,3,0.0
88605e,E_0.txt,5,5,0.0
88605e,N_0.txt,2,2,0.0
88605e,C_0.txt,4,4,0.0
80630e,E_0.txt,1,1,0.0
80630e,N_0.txt,1,1,0.0
80630e,C_0.txt,1,1,0.0
125700e,E_0.txt,2,2,0.0
125700e,N_0.txt,3,3,0.0
125700e,C_0.txt,2,2,0.0
70047c,E_0.txt,4,4,0.0
70047c,N_0.txt,3,3,0.0
70047c,C_0.txt,2,2,0.0
140005c,E_0.txt,3,3,0.0
140005c,N_0.txt,3,3,0.0
140005c,C_0.txt,2,2,0.0
71251n,E_0.txt,4,4,0.0
71251n,N_0.txt,2,2,0.0
71251n,C_0.txt,2,2,0.0
109876n,E_0.txt,3,3,0.0
109876n,N_0.txt,3,3,0.0
109876n,C_0.txt,3,3,0.0
83722e,E_0.txt,5,5,0.0
83722e,N_0.txt,3,3,0.0
83722e,C_0.txt,2,2,0.0
20181n,E_0.txt,4,4,0.0
20181n,N_0.txt,4,4,0.0
20181n,C_0.txt,8,8,0.0
23280n,E_0.txt,4,4,0.0
23280n,N_0.txt,1,1,0.0
23280n,C_0.txt,3,3,0.0
140782c,E_0.txt,0,0,0.0
140782c,N_0.txt,3,3,0.0
140782c,C_0.txt,4,4,0.0
88646c,E_0.txt,3,3,0.0
88646c,N_0.txt,0,0,0.0
88646c,C_0.txt,3,3,0.0
24385e,E_0.txt,2,2,0.0
24385e,N_0.txt,3,3,0.0
24385e,C_0.txt,3,3,0.0
22587e,E_0.txt,5,5,0.0
22587e,N_0.txt,1,1,0.0
22587e,C_0.txt,3,3,0.0
42860n,E_0.txt,1,1,0.0
42860n,N_0.txt,1,1,0.0
42860n,C_0.txt,2,2,0.0
122645n,E_0.txt,1,1,0.0
122645n,N_0.txt,4,4,0.0
122645n,C_0.txt,4,4,0.0
52854n,E_0.txt,1,1,0.0
52854n,N_0.txt,2,2,0.0
52854n,C_0.txt,3,3,0.0
18428n,E_0.txt,2,2,0.0
18428n,N_0.txt,2,2,0.0
18428n,C_0.txt,4,4,0.0
43440n,E_0.txt,2,2,0.0
43440n,N_0.txt,4,4,0.0
43440n,C_0.txt,3,3,0.0
98844n,E_0.txt,1,1,0.0
98844n,N_0.txt,1,1,0.0
98844n,C_0.txt,3,3,0.0
31113e,E_0.txt,2,2,0.0
31113e,N_0.txt,4,4,0.0
31113e,C_0.txt,3,3,0.0
100768n,E_0.txt,3,3,0.0
100768n,N_0.txt,3,3,0.0
100768n,C_0.txt,3,3,0.0
33822e,E_0.txt,3,3,0.0
33822e,N_0.txt,3,3,0.0
33822e,C_0.txt,3,3,0.0
106390n,E_0.txt,4,4,0.0
106390n,N_0.txt,2,2,0.0
106390n,C_0.txt,2,2,0.0
122928e,E_0.txt,1,1,0.0
122928e,N_0.txt,4,4,0.0
122928e,C_0.txt,1,1,0.0
78105e,E_0.txt,3,3,0.0
78105e,N_0.txt,3,3,0.0
78105e,C_0.txt,3,3,0.0
120896n,E_0.txt,5,5,0.0
120896n,N_0.txt,4,4,0.0
120896n,C_0.txt,4,4,0.0
91601n,E_0.txt,3,3,0.0
91601n,N_0.txt,3,3,0.0
91601n,C_0.txt,1,1,0.0
88188e,E_0.txt,3,3,0.0
88188e,N_0.txt,2,2,0.0
88188e,C_0.txt,3,3,0.0
1735n,E_0.txt,3,3,0.0
1735n,N_0.txt,3,3,0.0
1735n,C_0.txt,2,2,0.0
8487n,E_0.txt,3,3,0.0
8487n,N_0.txt,3,3,0.0
8487n,C_0.txt,2,2,0.0
70590c,E_0.txt,1,1,0.0
70590c,N_0.txt,2,2,0.0
70590c,C_0.txt,1,1,0.0
136752e,E_0.txt,5,5,0.0
136752e,N_0.txt,3,3,0.0
136752e,C_0.txt,1,1,0.0
23751c,E_0.txt,0,0,0.0
23751c,N_0.txt,3,3,0.0
23751c,C_0.txt,3,3,0.0
117089n,E_0.txt,2,2,0.0
117089n,N_0.txt,4,4,0.0
117089n,C_0.txt,2,2,0.0
113644n,E_0.txt,2,2,0.0
113644n,N_0.txt,2,2,0.0
113644n,C_0.txt,3,3,0.0
141293e,E_0.txt,1,1,0.0
141293e,N_0.txt,1,1,0.0
141293e,C_0.txt,1,1,0.0
77893n,E_0.txt,3,3,0.0
77893n,N_0.txt,5,5,0.0
77893n,C_0.txt,4,4,0.0
12815n,E_0.txt,1,1,0.0
12815n,N_0.txt,3,3,0.0
12815n,C_0.txt,2,2,0.0
67610c,E_0.txt,5,5,0.0
67610c,N_0.txt,2,2,0.0
67610c,C_0.txt,3,3,0.0
111338c,E_0.txt,0,0,0.0
111338c,N_0.txt,2,2,0.0
111338c,C_0.txt,3,3,0.0
96956c,E_0.txt,5,5,0.0
96956c,N_0.txt,3,3,0.0
96956c,C_0.txt,3,3,0.0
13964e,E_0.txt,1,1,0.0
13964e,N_0.txt,2,2,0.0
13964e,C_0.txt,2,2,0.0
99708e,E_0.txt,3,3,0.0
99708e,N_0.txt,3,3,0.0
99708e,C_0.txt,2,2,0.0
136097n,E_0.txt,3,3,0.0
136097n,N_0.txt,1,1,0.0
136097n,C_0.txt,5,5,0.0
80808n,E_0.txt,4,4,0.0
80808n,N_0.txt,3,3,0.0
80808n,C_0.txt,3,3,0.0
73840n,E_0.txt,4,4,0.0
73840n,N_0.txt,4,4,0.0
73840n,C_0.txt,3,3,0.0
46059c,E_0.txt,1,1,0.0
46059c,N_0.txt,3,3,0.0
46059c,C_0.txt,2,2,0.0
145495c,E_0.txt,0,0,0.0
145495c,N_0.txt,2,2,0.0
145495c,C_0.txt,3,3,0.0
38527n,E_0.txt,2,2,0.0
38527n,N_0.txt,2,2,0.0
38527n,C_0.txt,3,3,0.0
21834e,E_0.txt,4,4,0.0
21834e,N_0.txt,3,3,0.0
21834e,C_0.txt,3,3,0.0
45774c,E_0.txt,5,5,0.0
45774c,N_0.txt,4,4,0.0
45774c,C_0.txt,3,3,0.0
73191n,E_0.txt,3,3,0.0
73191n,N_0.txt,3,3,0.0
73191n,C_0.txt,1,1,0.0
47260n,E_0.txt,5,5,0.0
47260n,N_0.txt,3,3,0.0
47260n,C_0.txt,2,2,0.0
23414c,E_0.txt,5,5,0.0
23414c,N_0.txt,3,3,0.0
23414c,C_0.txt,4,4,0.0
17576n,E_0.txt,1,1,0.0
17576n,N_0.txt,2,2,0.0
17576n,C_0.txt,3,3,0.0
49396e,E_0.txt,2,2,0.0
49396e,N_0.txt,3,3,0.0
49396e,C_0.txt,4,4,0.0
19768c,E_0.txt,1,1,0.0
19768c,N_0.txt,2,2,0.0
19768c,C_0.txt,2,2,0.0
36811c,E_0.txt,3,3,0.0
36811c,N_0.txt,4,4,0.0
36811c,C_0.txt,3,3,0.0
118403n,E_0.txt,1,1,0.0
118403n,N_0.txt,3,3,0.0
118403n,C_0.txt,3,3,0.0
23583e,E_0.txt,0,0,0.0
23583e,N_0.txt,1,1,0.0
23583e,C_0.txt,2,2,0.0
36715e,E_0.txt,1,1,0.0
36715e,N_0.txt,2,2,0.0
36715e,C_0.txt,2,2,0.0
16996e,E_0.txt,2,2,0.0
16996e,N_0.txt,3,3,0.0
16996e,C_0.txt,4,4,0.0
90548e,E_0.txt,2,2,0.0
90548e,N_0.txt,2,2,0.0
90548e,C_0.txt,2,2,0.0
59934n,E_0.txt,0,0,0.0
59934n,N_0.txt,2,2,0.0
59934n,C_0.txt,3,3,0.0
82510c,E_0.txt,1,1,0.0
82510c,N_0.txt,2,2,0.0
82510c,C_0.txt,2,2,0.0
28306c,E_0.txt,2,2,0.0
28306c,N_0.txt,3,3,0.0
28306c,C_0.txt,2,2,0.0
5087e,E_0.txt,5,5,0.0
5087e,N_0.txt,5,5,0.0
5087e,C_0.txt,5,5,0.0
143789n,E_0.txt,5,5,0.0
143789n,N_0.txt,3,3,0.0
143789n,C_0.txt,2,2,0.0
130869n,E_0.txt,0,0,0.0
130869n,N_0.txt,1,1,0.0
130869n,C_0.txt,1,1,0.0
133597n,E_0.txt,5,5,0.0
133597n,N_0.txt,2,2,0.0
133597n,C_0.txt,5,5,0.0
105561e,E_0.txt,3,3,0.0
105561e,N_0.txt,2,2,0.0
105561e,C_0.txt,2,2,0.0
69975n,E_0.txt,3,3,0.0
69975n,N_0.txt,3,3,0.0
69975n,C_0.txt,4,4,0.0
56743e,E_0.txt,1,1,0.0
56743e,N_0.txt,2,2,0.0
56743e,C_0.txt,2,2,0.0
61818n,E_0.txt,0,0,0.0
61818n,N_0.txt,3,3,0.0
61818n,C_0.txt,3,3,0.0
129081e,E_0.txt,1,1,0.0
129081e,N_0.txt,1,1,0.0
129081e,C_0.txt,3,3,0.0
111243n,E_0.txt,1,1,0.0
111243n,N_0.txt,1,1,0.0
111243n,C_0.txt,2,2,0.0
94674c,E_0.txt,1,1,0.0
94674c,N_0.txt,2,2,0.0
94674c,C_0.txt,2,2,0.0
111338e,E_0.txt,1,1,0.0
111338e,N_0.txt,1,1,0.0
111338e,C_0.txt,2,2,0.0
5193n,E_0.txt,3,3,0.0
5193n,N_0.txt,3,3,0.0
5193n,C_0.txt,0,0,0.0
23642n,E_0.txt,1,1,0.0
23642n,N_0.txt,2,2,0.0
23642n,C_0.txt,2,2,0.0
65650e,E_0.txt,1,1,0.0
65650e,N_0.txt,2,2,0.0
65650e,C_0.txt,3,3,0.0
19803e,E_0.txt,2,2,0.0
19803e,N_0.txt,3,3,0.0
19803e,C_0.txt,3,3,0.0
47798n,E_0.txt,1,1,0.0
47798n,N_0.txt,5,5,0.0
47798n,C_0.txt,2,2,0.0
134103n,E_0.txt,3,3,0.0
134103n,N_0.txt,2,2,0.0
134103n,C_0.txt,2,2,0.0
55888c,E_0.txt,1,1,0.0
55888c,N_0.txt,4,4,0.0
55888c,C_0.txt,2,2,0.0
84055n,E_0.txt,1,1,0.0
84055n,N_0.txt,3,3,0.0
84055n,C_0.txt,2,2,0.0
48222n,E_0.txt,3,3,0.0
48222n,N_0.txt,3,3,0.0
48222n,C_0.txt,2,2,0.0
138285n,E_0.txt,3,3,0.0
138285n,N_0.txt,3,3,0.0
138285n,C_0.txt,3,3,0.0
32889n,E_0.txt,0,0,0.0
32889n,N_0.txt,3,3,0.0
32889n,C_0.txt,3,3,0.0
126486n,E_0.txt,4,4,0.0
126486n,N_0.txt,4,4,0.0
126486n,C_0.txt,3,3,0.0
111680e,E_0.txt,1,1,0.0
111680e,N_0.txt,3,3,0.0
111680e,C_0.txt,2,2,0.0
82700c,E_0.txt,1,1,0.0
82700c,N_0.txt,3,3,0.0
82700c,C_0.txt,3,3,0.0
113039e,E_0.txt,1,1,0.0
113039e,N_0.txt,1,1,0.0
113039e,C_0.txt,1,1,0.0
82510e,E_0.txt,3,3,0.0
82510e,N_0.txt,3,3,0.0
82510e,C_0.txt,3,3,0.0
123038e,E_0.txt,3,3,0.0
123038e,N_0.txt,3,3,0.0
123038e,C_0.txt,2,2,0.0
58954c,E_0.txt,0,0,0.0
58954c,N_0.txt,3,3,0.0
58954c,C_0.txt,3,3,0.0
135247c,E_0.txt,0,0,0.0
135247c,N_0.txt,2,2,0.0
135247c,C_0.txt,1,1,0.0
113967e,E_0.txt,1,1,0.0
113967e,N_0.txt,3,3,0.0
113967e,C_0.txt,3,3,0.0
115821n,E_0.txt,5,5,0.0
115821n,N_0.txt,5,5,0.0
115821n,C_0.txt,3,3,0.0
137319n,E_0.txt,2,2,0.0
137319n,N_0.txt,2,2,0.0
137319n,C_0.txt,2,2,0.0
91797c,E_0.txt,0,0,0.0
91797c,N_0.txt,3,3,0.0
91797c,C_0.txt,2,2,0.0
10547c,E_0.txt,1,1,0.0
10547c,N_0.txt,2,2,0.0
10547c,C_0.txt,2,2,0.0
45605n,E_0.txt,1,1,0.0
45605n,N_0.txt,3,3,0.0
45605n,C_0.txt,2,2,0.0
14459n,E_0.txt,1,1,0.0
14459n,N_0.txt,3,3,0.0
14459n,C_0.txt,2,2,0.0
15771c,E_0.txt,0,0,0.0
15771c,N_0.txt,3,3,0.0
15771c,C_0.txt,2,2,0.0
116059n,E_0.txt,4,4,0.0
116059n,N_0.txt,4,4,0.0
116059n,C_0.txt,4,4,0.0
105196n,E_0.txt,1,1,0.0
105196n,N_0.txt,2,2,0.0
105196n,C_0.txt,4,4,0.0
26143n,E_0.txt,4,4,0.0
26143n,N_0.txt,4,4,0.0
26143n,C_0.txt,3,3,0.0
134655c,E_0.txt,0,0,0.0
134655c,N_0.txt,1,1,0.0
134655c,C_0.txt,1,1,0.0
30894c,E_0.txt,4,4,0.0
30894c,N_0.txt,2,2,0.0
30894c,C_0.txt,3,3,0.0
66858n,E_0.txt,7,7,0.0
66858n,N_0.txt,5,5,0.0
66858n,C_0.txt,5,5,0.0
24103n,E_0.txt,5,5,0.0
24103n,N_0.txt,3,3,0.0
24103n,C_0.txt,5,5,0.0
124037n,E_0.txt,1,1,0.0
124037n,N_0.txt,2,2,0.0
124037n,C_0.txt,2,2,0.0
123748n,E_0.txt,1,1,0.0
123748n,N_0.txt,1,1,0.0
123748n,C_0.txt,3,3,0.0
100792c,E_0.txt,0,0,0.0
100792c,N_0.txt,2,2,0.0
100792c,C_0.txt,3,3,0.0
53468n,E_0.txt,1,1,0.0
53468n,N_0.txt,3,3,0.0
53468n,C_0.txt,3,3,0.0
134514c,E_0.txt,0,0,0.0
134514c,N_0.txt,0,0,0.0
134514c,C_0.txt,2,2,0.0
100895c,E_0.txt,1,1,0.0
100895c,N_0.txt,4,4,0.0
100895c,C_0.txt,5,5,0.0
91709c,E_0.txt,2,2,0.0
91709c,N_0.txt,4,4,0.0
91709c,C_0.txt,3,3,0.0
49172n,E_0.txt,5,5,0.0
49172n,N_0.txt,2,2,0.0
49172n,C_0.txt,2,2,0.0
62273n,E_0.txt,3,3,0.0
62273n,N_0.txt,3,3,0.0
62273n,C_0.txt,3,3,0.0
98739n,E_0.txt,5,5,0.0
98739n,N_0.txt,4,4,0.0
98739n,C_0.txt,3,3,0.0
117680c,E_0.txt,1,1,0.0
117680c,N_0.txt,1,1,0.0
117680c,C_0.txt,1,1,0.0
21957n,E_0.txt,4,4,0.0
21957n,N_0.txt,5,5,0.0
21957n,C_0.txt,4,4,0.0
76957c,E_0.txt,1,1,0.0
76957c,N_0.txt,2,2,0.0
76957c,C_0.txt,3,3,0.0
24163e,E_0.txt,4,4,0.0
24163e,N_0.txt,4,4,0.0
24163e,C_0.txt,3,3,0.0
17660e,E_0.txt,2,2,0.0
17660e,N_0.txt,3,3,0.0
17660e,C_0.txt,2,2,0.0
45306n,E_0.txt,3,3,0.0
45306n,N_0.txt,3,3,0.0
45306n,C_0.txt,2,2,0.0
24126n,E_0.txt,6,6,0.0
24126n,N_0.txt,1,1,0.0
24126n,C_0.txt,6,6,0.0
7856c,E_0.txt,2,2,0.0
7856c,N_0.txt,5,5,0.0
7856c,C_0.txt,6,6,0.0
75259c,E_0.txt,0,0,0.0
75259c,N_0.txt,3,3,0.0
75259c,C_0.txt,2,2,0.0
77025c,E_0.txt,3,3,0.0
77025c,N_0.txt,3,3,0.0
77025c,C_0.txt,3,3,0.0
46576e,E_0.txt,5,5,0.0
46576e,N_0.txt,4,4,0.0
46576e,C_0.txt,3,3,0.0
25437n,E_0.txt,2,2,0.0
25437n,N_0.txt,2,2,0.0
25437n,C_0.txt,2,2,0.0
77299n,E_0.txt,3,3,0.0
77299n,N_0.txt,3,3,0.0
77299n,C_0.txt,2,2,0.0
9393n,E_0.txt,1,1,0.0
9393n,N_0.txt,2,2,0.0
9393n,C_0.txt,2,2,0.0
50484c,E_0.txt,1,1,0.0
50484c,N_0.txt,3,3,0.0
50484c,C_0.txt,2,2,0.0
138530e,E_0.txt,5,5,0.0
138530e,N_0.txt,3,3,0.0
138530e,C_0.txt,3,3,0.0
98621n,E_0.txt,3,3,0.0
98621n,N_0.txt,5,5,0.0
98621n,C_0.txt,5,5,0.0
11303n,E_0.txt,2,2,0.0
11303n,N_0.txt,2,2,0.0
11303n,C_0.txt,3,3,0.0
82415n,E_0.txt,1,1,0.0
82415n,N_0.txt,2,2,0.0
82415n,C_0.txt,1,1,0.0
66185c,E_0.txt,2,2,0.0
66185c,N_0.txt,3,3,0.0
66185c,C_0.txt,2,2,0.0
