folder,label,0-1,1-2,2-3,dropped_count
13911n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
13911n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
13911n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
56163c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
56163c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
56163c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
57454c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
57454c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
57454c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
125013e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
125013e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
125013e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
58357c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
58357c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
58357c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
16494c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
16494c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
16494c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
77116e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
77116e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
77116e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
104805e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
104805e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 1, 'text': ['The statement ""California is hyped up!"" could be figurative and unrelated to the literal meaning of ""high,"" making the connection uncertain.']}",1
104805e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
53866e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
53866e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
53866e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
26372n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
26372n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
26372n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
13387e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
13387e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
13387e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
63218n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
63218n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
63218n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
54458n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
54458n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
54458n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
15100e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
15100e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
15100e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
19c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
19c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
19c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
52171c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
52171c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
52171c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
101525c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
101525c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
101525c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
98561e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
98561e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
98561e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
46650n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
46650n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 1, 'text': ['The statement may refer to a metaphorical use of ""bait"" that differs from its literal interpretation in the context provided.']}",1
46650n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
43891n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
43891n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
43891n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
91650n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
91650n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
91650n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
109278n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
109278n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
109278n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
103169n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
103169n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
103169n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
62238e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
62238e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
62238e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
46198c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
46198c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
46198c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
142604e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
142604e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
142604e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
77590c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
77590c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
77590c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
83900e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
83900e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
83900e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
837n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
837n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
837n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
16989c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
16989c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
16989c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
23769n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
23769n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
23769n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
80109n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
80109n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
80109n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
84781e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
84781e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
84781e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
118415n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
118415n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
118415n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
72875e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
72875e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
72875e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
128160n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
128160n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
128160n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
46003n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
46003n,N,"{'num': 0, 'text': []}","{'num': 1, 'text': ['Different areas may have varying rates for water and fertilizer application.']}","{'num': 0, 'text': []}",1
46003n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
26495e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
26495e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
26495e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
83247e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
83247e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
83247e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
122062n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
122062n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
122062n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
89995c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
89995c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
89995c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
97926c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
97926c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
97926c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
49807n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
49807n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
49807n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
95186n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
95186n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
95186n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
129601e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
129601e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
129601e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
66225n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
66225n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
66225n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
97520e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
97520e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
97520e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
37407n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
37407n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
37407n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
41052n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
41052n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
41052n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
97569e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
97569e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
97569e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
102817c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
102817c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
102817c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
139409e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
139409e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
139409e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
57454e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
57454e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
57454e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
66689c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
66689c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
66689c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
123703e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
123703e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
123703e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
34573n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
34573n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
34573n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
133243e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
133243e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
133243e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
40710n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
40710n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
40710n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
114971e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
114971e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
114971e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
80517e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
80517e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
80517e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
30139n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
30139n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
30139n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
54327n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
54327n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
54327n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
120070n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
120070n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
120070n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
63013n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
63013n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
63013n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
144753n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
144753n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
144753n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
101253c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
101253c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
101253c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
917c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
917c,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
917c,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
132516n,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
132516n,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
132516n,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
79106e,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
79106e,N,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
79106e,C,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
38477c,E,"{'num': 0, 'text': []}","{'num': 0, 'text': []}","{'num': 0, 'text': []}",0
