id,round,labels,llm_ranks,chaosnli_ranks,kendall_tau
105911c,round_1,"e,n,c","[2, 1, 2]","[2, 1, 3]",0.816496580927726
106013c,round_1,"e,n,c","[1, 3, 2]","[3, 2, 1]",-0.33333333333333337
106390n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
10724n,round_1,"e,n,c","[2, 2, 1]","[3, 1, 2]",0.0
107252c,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
107399c,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
1073c,round_1,"e,n,c","[2, 2, 1]","[3, 1, 2]",0.0
107468n,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
108027n,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
108624c,round_1,"e,n,c","[1, 2, 3]","[1, 3, 2]",0.33333333333333337
10916n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
109278n,round_1,"e,n,c","[1, 2, 3]","[2, 1, 2]",0.0
109679n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
109876n,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
110061n,round_1,"e,n,c","[2, 2, 1]","[2, 1, 3]",-0.816496580927726
110234e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
111243n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
111338c,round_1,"e,n,c","[1, 3, 2]","[3, 2, 1]",-0.33333333333333337
111338e,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
111680e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
111693e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
112349c,round_1,"e,n,c","[2, 3, 1]","[2, 3, 1]",1.0
112402c,round_1,"e,n,c","[3, 1, 2]","[2, 1, 3]",0.33333333333333337
112547n,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
11297c,round_1,"e,n,c","[2, 1, 1]","[3, 2, 1]",0.816496580927726
113039e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
11303n,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
113193n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
11362e,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
113644n,round_1,"e,n,c","[1, 3, 2]","[3, 1, 2]",-1.0
113668n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
113967e,round_1,"e,n,c","[3, 2, 1]","[3, 1, 2]",0.33333333333333337
114458e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
114492n,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
114971e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 1]",-0.9999999999999999
115247c,round_1,"e,n,c","[1, 2, 2]","[3, 2, 1]",-0.816496580927726
11534n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
115821n,round_1,"e,n,c","[2, 3, 1]","[2, 1, 3]",-1.0
11601n,round_1,"e,n,c","[2, 3, 1]","[3, 2, 1]",0.33333333333333337
116059n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
116176c,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
11618c,round_1,"e,n,c","[1, 3, 2]","[3, 2, 1]",-0.33333333333333337
117089n,round_1,"e,n,c","[1, 2, 3]","[2, 1, 3]",0.33333333333333337
117093n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
117177n,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
117576e,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
117680c,round_1,"e,n,c","[3, 2, 1]","[2, 3, 1]",0.33333333333333337
117892n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
118403n,round_1,"e,n,c","[2, 3, 1]","[3, 1, 2]",-0.33333333333333337
118415n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
118460n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
118999n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
11971n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
119768n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
120070n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
120149c,round_1,"e,n,c","[1, 2, 2]","[2, 3, 1]",0.0
120323n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
120896n,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
120955n,round_1,"e,n,c","[2, 1, 2]","[3, 2, 1]",0.0
121360c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
121422c,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
121910c,round_1,"e,n,c","[3, 2, 1]","[1, 2, 3]",-1.0
121910e,round_1,"e,n,c","[3, 1, 2]","[2, 3, 1]",-0.33333333333333337
122062n,round_1,"e,n,c","[2, 1, 3]","[2, 1, 3]",1.0
122322e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
122645n,round_1,"e,n,c","[3, 2, 1]","[2, 1, 3]",-0.33333333333333337
122928e,round_1,"e,n,c","[2, 1, 3]","[1, 3, 2]",-0.33333333333333337
123027n,round_1,"e,n,c","[2, 3, 1]","[1, 2, 3]",-0.33333333333333337
123038e,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
123267e,round_1,"e,n,c","[2, 1, 3]","[2, 1, 3]",1.0
123703e,round_1,"e,n,c","[1, 2, 3]","[2, 3, 1]",-0.33333333333333337
123748n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
123751n,round_1,"e,n,c","[3, 2, 1]","[1, 2, 3]",-1.0
123891c,round_1,"e,n,c","[3, 2, 1]","[3, 1, 2]",0.33333333333333337
124037n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
124590c,round_1,"e,n,c","[2, 1, 2]","[3, 2, 1]",0.0
124839c,round_1,"e,n,c","[1, 2, 3]","[3, 2, 1]",-1.0
124853e,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
125013e,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
125021c,round_1,"e,n,c","[1, 1, 2]","[2, 1, 1]",-0.49999999999999994
125238c,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
12562n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
125700e,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
12601n,round_1,"e,n,c","[1, 3, 2]","[2, 1, 3]",-0.33333333333333337
126486n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
127073c,round_1,"e,n,c","[2, 1, 3]","[3, 2, 1]",-0.33333333333333337
127290n,round_1,"e,n,c","[3, 1, 2]","[2, 1, 3]",0.33333333333333337
127410n,round_1,"e,n,c","[2, 3, 1]","[2, 3, 1]",1.0
127809n,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
12815n,round_1,"e,n,c","[3, 2, 1]","[1, 2, 3]",-1.0
128160n,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
128176e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
128542e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
129081e,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
129081n,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
129185n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
129464c,round_1,"e,n,c","[1, 2, 3]","[1, 1, 2]",0.816496580927726
129601e,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
129601n,round_1,"e,n,c","[1, 2, 3]","[3, 1, 2]",-0.33333333333333337
130680e,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
130869n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
130928n,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
131235c,round_1,"e,n,c","[2, 1, 1]","[2, 3, 1]",0.0
131261n,round_1,"e,n,c","[2, 3, 1]","[1, 2, 3]",-0.33333333333333337
13133n,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
131623c,round_1,"e,n,c","[3, 2, 1]","[3, 2, 1]",1.0
132019n,round_1,"e,n,c","[1, 2, 3]","[1, 3, 2]",0.33333333333333337
132516n,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
132525n,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
132539e,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
133005n,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
133243e,round_1,"e,n,c","[2, 1, 3]","[2, 1, 3]",1.0
133274n,round_1,"e,n,c","[2, 2, 1]","[3, 2, 1]",0.816496580927726
133597n,round_1,"e,n,c","[1, 2, 3]","[2, 1, 3]",0.33333333333333337
13387e,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
134103n,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
134217e,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
134356n,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
134514c,round_1,"e,n,c","[1, 2, 1]","[3, 2, 1]",0.0
134655c,round_1,"e,n,c","[2, 1, 2]","[3, 2, 1]",0.0
135021n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
135247c,round_1,"e,n,c","[2, 1, 1]","[3, 2, 1]",0.816496580927726
135251n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
135898c,round_1,"e,n,c","[2, 1, 3]","[2, 1, 1]",0.0
136097n,round_1,"e,n,c","[2, 3, 1]","[1, 2, 3]",-0.33333333333333337
136360e,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
136752e,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
136752n,round_1,"e,n,c","[3, 1, 2]","[2, 1, 3]",0.33333333333333337
137319n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
13760n,round_1,"e,n,c","[1, 2, 3]","[2, 1, 3]",0.33333333333333337
13765c,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
137715n,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
138285n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
138448c,round_1,"e,n,c","[2, 1, 1]","[2, 3, 1]",0.0
138530e,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
138862c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 3]",0.0
138966n,round_1,"e,n,c","[2, 3, 1]","[3, 1, 2]",-0.33333333333333337
13911n,round_1,"e,n,c","[2, 1, 2]","[3, 2, 1]",0.0
139362e,round_1,"e,n,c","[2, 3, 1]","[2, 1, 3]",-1.0
139409e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
139635n,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
13964e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
139836n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
140005c,round_1,"e,n,c","[2, 1, 1]","[3, 2, 1]",0.816496580927726
140782c,round_1,"e,n,c","[1, 2, 2]","[3, 2, 1]",-0.816496580927726
141110n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
14126e,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
141293e,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
141321n,round_1,"e,n,c","[3, 1, 2]","[3, 2, 1]",0.33333333333333337
142430c,round_1,"e,n,c","[2, 2, 1]","[3, 2, 1]",0.816496580927726
142604e,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
142643c,round_1,"e,n,c","[2, 3, 1]","[2, 3, 1]",1.0
142729c,round_1,"e,n,c","[1, 2, 3]","[3, 2, 1]",-1.0
14280n,round_1,"e,n,c","[2, 3, 1]","[3, 1, 2]",-0.33333333333333337
143789n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
14388e,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
144408n,round_1,"e,n,c","[2, 1, 2]","[3, 2, 1]",0.0
14459n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
144753c,round_1,"e,n,c","[1, 3, 2]","[3, 1, 2]",-1.0
144753e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
144753n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
145047e,round_1,"e,n,c","[2, 2, 1]","[2, 1, 3]",-0.816496580927726
145495c,round_1,"e,n,c","[2, 2, 1]","[3, 2, 1]",0.816496580927726
15100e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
15537n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
15771c,round_1,"e,n,c","[2, 1, 3]","[3, 2, 1]",-0.33333333333333337
16086n,round_1,"e,n,c","[2, 1, 3]","[3, 1, 2]",0.33333333333333337
16494c,round_1,"e,n,c","[1, 2, 3]","[2, 2, 1]",-0.816496580927726
16989c,round_1,"e,n,c","[2, 3, 1]","[2, 1, 3]",-1.0
16996e,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
17179n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
1735n,round_1,"e,n,c","[1, 2, 1]","[3, 2, 1]",0.0
17576n,round_1,"e,n,c","[1, 2, 3]","[2, 1, 3]",0.33333333333333337
17660e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
17753n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
18189e,round_1,"e,n,c","[2, 3, 1]","[2, 1, 3]",-1.0
18428n,round_1,"e,n,c","[3, 2, 1]","[1, 2, 3]",-1.0
19208c,round_1,"e,n,c","[3, 2, 1]","[3, 2, 1]",1.0
19578n,round_1,"e,n,c","[3, 1, 2]","[2, 1, 3]",0.33333333333333337
19668c,round_1,"e,n,c","[1, 3, 2]","[3, 2, 1]",-0.33333333333333337
19768c,round_1,"e,n,c","[2, 1, 2]","[3, 2, 1]",0.0
19803e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
19921n,round_1,"e,n,c","[3, 2, 1]","[1, 2, 3]",-1.0
19c,round_1,"e,n,c","[2, 3, 1]","[3, 1, 2]",-0.33333333333333337
20181n,round_1,"e,n,c","[1, 3, 2]","[3, 1, 2]",-1.0
21297n,round_1,"e,n,c","[2, 2, 1]","[2, 1, 3]",-0.816496580927726
2133n,round_1,"e,n,c","[3, 2, 1]","[3, 2, 1]",1.0
21340n,round_1,"e,n,c","[3, 1, 2]","[3, 1, 2]",1.0
21810n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
21834e,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
21957n,round_1,"e,n,c","[1, 2, 3]","[2, 1, 3]",0.33333333333333337
22235n,round_1,"e,n,c","[1, 3, 2]","[2, 1, 3]",-0.33333333333333337
22436n,round_1,"e,n,c","[2, 2, 1]","[2, 1, 3]",-0.816496580927726
22587e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
2262n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
22938e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
23280e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
23280n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 3]",0.816496580927726
23414c,round_1,"e,n,c","[1, 2, 3]","[2, 1, 3]",0.33333333333333337
23583e,round_1,"e,n,c","[2, 2, 1]","[3, 2, 1]",0.816496580927726
23642n,round_1,"e,n,c","[1, 2, 3]","[3, 1, 2]",-0.33333333333333337
23751c,round_1,"e,n,c","[3, 2, 1]","[3, 1, 2]",0.33333333333333337
23751e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
23769n,round_1,"e,n,c","[1, 3, 2]","[2, 1, 3]",-0.33333333333333337
23901e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
24103n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
24126n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
24163e,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
24385e,round_1,"e,n,c","[1, 2, 3]","[2, 1, 3]",0.33333333333333337
25304n,round_1,"e,n,c","[2, 1, 3]","[2, 3, 1]",-1.0
25437n,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
26142n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
26143n,round_1,"e,n,c","[1, 1, 1]","[3, 2, 1]",
26372n,round_1,"e,n,c","[2, 1, 3]","[2, 1, 3]",1.0
26495e,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
27022c,round_1,"e,n,c","[3, 1, 2]","[1, 3, 2]",-1.0
27287c,round_1,"e,n,c","[2, 2, 1]","[3, 2, 1]",0.816496580927726
27335e,round_1,"e,n,c","[2, 3, 1]","[1, 2, 3]",-0.33333333333333337
28306c,round_1,"e,n,c","[2, 3, 1]","[3, 2, 1]",0.33333333333333337
28456n,round_1,"e,n,c","[3, 2, 1]","[3, 1, 2]",0.33333333333333337
28507n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
28601n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
2870n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
29844c,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
30139n,round_1,"e,n,c","[2, 3, 1]","[1, 2, 3]",-0.33333333333333337
30171n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
30282n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
30380c,round_1,"e,n,c","[2, 1, 3]","[2, 3, 1]",-1.0
30894c,round_1,"e,n,c","[1, 2, 1]","[3, 1, 2]",-0.816496580927726
30894n,round_1,"e,n,c","[1, 2, 3]","[2, 1, 3]",0.33333333333333337
31113e,round_1,"e,n,c","[1, 2, 1]","[2, 1, 3]",-0.816496580927726
31249e,round_1,"e,n,c","[3, 2, 1]","[1, 2, 3]",-1.0
31775c,round_1,"e,n,c","[3, 1, 2]","[3, 2, 1]",0.33333333333333337
32754e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
32754n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
32889n,round_1,"e,n,c","[1, 2, 3]","[3, 1, 2]",-0.33333333333333337
33822e,round_1,"e,n,c","[2, 3, 1]","[1, 2, 3]",-0.33333333333333337
33822n,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
34043c,round_1,"e,n,c","[3, 2, 1]","[3, 1, 2]",0.33333333333333337
34094e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
34176n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 3]",0.0
34573n,round_1,"e,n,c","[1, 3, 2]","[1, 3, 2]",1.0
3476n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 3]",0.0
34776c,round_1,"e,n,c","[3, 1, 2]","[3, 1, 2]",1.0
3545n,round_1,"e,n,c","[3, 2, 1]","[2, 1, 3]",-0.33333333333333337
35700c,round_1,"e,n,c","[3, 1, 2]","[3, 2, 1]",0.33333333333333337
35809n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 3]",0.0
36715e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
36811c,round_1,"e,n,c","[1, 2, 3]","[3, 2, 1]",-1.0
37407n,round_1,"e,n,c","[1, 2, 1]","[3, 1, 2]",-0.816496580927726
38156n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
38475c,round_1,"e,n,c","[3, 1, 2]","[3, 1, 2]",1.0
38477c,round_1,"e,n,c","[1, 1, 2]","[3, 2, 1]",-0.816496580927726
38527n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 3]",0.0
40486n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
40710n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
41052n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
41975c,round_1,"e,n,c","[1, 3, 2]","[3, 1, 2]",-1.0
42388e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
42860n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
42983e,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
43094c,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
43440n,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
43891n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 1]",0.49999999999999994
44747n,round_1,"e,n,c","[1, 2, 1]","[3, 1, 2]",-0.816496580927726
45306n,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
45443c,round_1,"e,n,c","[1, 2, 1]","[3, 2, 1]",0.0
45605n,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
45774c,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
45957e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
46003n,round_1,"e,n,c","[2, 3, 1]","[1, 2, 3]",-0.33333333333333337
46059c,round_1,"e,n,c","[3, 2, 1]","[2, 3, 1]",0.33333333333333337
46198c,round_1,"e,n,c","[1, 2, 3]","[3, 2, 1]",-1.0
46198n,round_1,"e,n,c","[3, 1, 2]","[3, 1, 2]",1.0
46576e,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
46650n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
46820e,round_1,"e,n,c","[3, 2, 1]","[2, 1, 3]",-0.33333333333333337
47260n,round_1,"e,n,c","[1, 2, 3]","[3, 1, 2]",-0.33333333333333337
47404e,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
47408n,round_1,"e,n,c","[3, 1, 2]","[2, 1, 3]",0.33333333333333337
47798n,round_1,"e,n,c","[3, 2, 1]","[3, 1, 2]",0.33333333333333337
48222n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
48223n,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
48300c,round_1,"e,n,c","[3, 2, 1]","[1, 3, 2]",-0.33333333333333337
48454c,round_1,"e,n,c","[2, 2, 1]","[2, 1, 3]",-0.816496580927726
48553c,round_1,"e,n,c","[3, 1, 2]","[3, 1, 2]",1.0
49172n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
49227n,round_1,"e,n,c","[1, 2, 1]","[2, 1, 3]",-0.816496580927726
49237c,round_1,"e,n,c","[1, 2, 3]","[3, 2, 1]",-1.0
49396e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
49462c,round_1,"e,n,c","[2, 2, 1]","[3, 2, 1]",0.816496580927726
49611e,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
49807n,round_1,"e,n,c","[2, 2, 1]","[2, 1, 3]",-0.816496580927726
50480n,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
50484c,round_1,"e,n,c","[3, 1, 2]","[3, 2, 1]",0.33333333333333337
5087e,round_1,"e,n,c","[1, 2, 3]","[1, 2, 3]",1.0
51353c,round_1,"e,n,c","[2, 2, 1]","[3, 2, 1]",0.816496580927726
51353e,round_1,"e,n,c","[2, 3, 1]","[1, 2, 3]",-0.33333333333333337
5193n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
52171c,round_1,"e,n,c","[2, 2, 1]","[1, 2, 2]",-0.49999999999999994
52278e,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
52542n,round_1,"e,n,c","[2, 3, 1]","[2, 1, 3]",-1.0
52761e,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
52854n,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
