id,llm_not_calidated_error,varierr_error
135898c,[],"[""contradiction""]"
82830n,[],[]
74509n,"[""c""]",[]
98944c,"[""c""]",[]
19208c,"[""e""]",[]
117576e,[],[]
50484c,"[""e""]",[]
98445c,"[""e""]","[""contradiction""]"
7856c,[],[]
8257n,"[""c"", ""n""]",[]
141110n,"[""c"", ""n""]","[""entailment""]"
84055n,"[""e""]","[""contradiction"", ""entailment""]"
143789n,"[""c"", ""n""]",[]
13911n,"[""e""]","[""contradiction""]"
122062n,[],[]
49396e,"[""c""]",[]
73444n,"[""c""]",[]
79106e,[],[]
82230e,"[""c""]",[]
14280n,[],[]
19668c,[],"[""neutral""]"
12562n,"[""n""]","[""entailment""]"
111693e,[],"[""entailment""]"
124839c,"[""c"", ""e""]",[]
72870n,[],[]
129601n,"[""c""]",[]
26372n,"[""c"", ""n""]","[""entailment""]"
74534n,"[""e""]",[]
63469c,"[""e""]",[]
141321n,"[""n"", ""e""]",[]
68946c,"[""e""]",[]
41975c,[],[]
100349e,"[""c""]",[]
107399c,"[""e""]",[]
131623c,[],"[""contradiction""]"
58954c,"[""n"", ""e""]",[]
74377e,"[""c""]",[]
130680e,"[""c""]",[]
49227n,"[""c""]",[]
124853e,"[""c""]","[""contradiction""]"
117892n,"[""c""]",[]
111243n,"[""c""]",[]
77654e,"[""c""]",[]
110061n,"[""c""]",[]
29844c,[],[]
27335e,"[""c"", ""n""]",[]
87332c,"[""e""]","[""entailment""]"
53499c,[],"[""entailment""]"
65199n,[],[]
88050c,"[""e""]",[]
34094e,"[""c""]",[]
72875e,"[""c""]",[]
19921n,[],[]
23583e,[],[]
91106n,"[""c""]",[]
9557e,[],"[""entailment""]"
15537n,"[""c""]","[""entailment""]"
3476n,"[""c"", ""n""]",[]
56124n,[],"[""entailment""]"
5193n,"[""c"", ""n""]",[]
106390n,"[""c""]",[]
54327n,[],[]
2870n,[],[]
63218n,[],[]
144753c,[],[]
73191n,"[""c""]","[""contradiction""]"
62273n,[],[]
58016c,[],[]
45605n,"[""c""]",[]
82174e,"[""c""]",[]
123703e,[],[]
127410n,[],[]
55572n,[],[]
45774c,"[""e""]","[""contradiction""]"
130869n,"[""e""]",[]
93955n,[],"[""entailment""]"
72870c,[],"[""contradiction"", ""entailment""]"
77025c,[],[]
69975n,"[""c""]",[]
125238c,[],[]
27022c,"[""c""]",[]
66689c,"[""e""]","[""neutral""]"
112547n,"[""c""]","[""entailment""]"
129081n,[],[]
45306n,"[""n""]",[]
76957c,"[""c""]",[]
2262n,"[""c"", ""n""]","[""entailment""]"
40710n,"[""c"", ""n""]",[]
21957n,"[""c""]",[]
14126e,"[""c""]",[]
79013n,[],"[""entailment"", ""neutral""]"
38156n,"[""c"", ""n""]",[]
25304n,"[""e""]","[""neutral""]"
111338e,"[""c""]",[]
75259c,"[""c""]","[""contradiction""]"
53211n,[],"[""entailment""]"
123267e,"[""c""]",[]
80808n,"[""c""]","[""neutral""]"
72740c,"[""n"", ""e""]",[]
71251n,[],[]
117680c,"[""n"", ""e""]",[]
80930n,"[""c""]",[]
98844n,"[""c""]",[]
127073c,[],"[""contradiction""]"
61216c,"[""e""]",[]
102857n,"[""c"", ""n""]","[""contradiction""]"
133243e,[],[]
144408n,"[""e""]",[]
104412e,"[""c""]","[""contradiction""]"
129601e,"[""c"", ""n""]",[]
62238e,"[""c""]","[""entailment""]"
51353e,"[""c""]",[]
108027n,[],[]
95883e,[],[]
26495e,[],[]
67836n,[],[]
21340n,"[""c""]","[""contradiction""]"
114971e,"[""c""]",[]
103354n,[],"[""contradiction""]"
11971n,[],[]
83722e,"[""c""]",[]
38527n,"[""c""]",[]
59934n,"[""c""]","[""entailment""]"
10916n,"[""c""]",[]
34043c,"[""c""]","[""contradiction""]"
117089n,"[""c""]",[]
121910c,[],[]
113668n,[],"[""contradiction"", ""entailment""]"
128176e,[],"[""entailment""]"
122322e,"[""c""]",[]
53619c,[],"[""entailment""]"
27287c,[],[]
125700e,[],[]
96946n,"[""c""]",[]
17660e,"[""c"", ""n""]",[]
107252c,"[""e""]",[]
113967e,"[""c""]",[]
129464c,"[""c""]",[]
82528c,[],"[""entailment""]"
134356n,"[""c""]",[]
102075c,[],[]
96956c,[],[]
24163e,"[""c""]",[]
31775c,[],[]
8487n,"[""c""]","[""neutral""]"
46576e,[],[]
83247e,[],[]
80109n,[],"[""neutral""]"
52854n,"[""c""]",[]
133274n,[],[]
120070n,"[""c""]",[]
129185n,"[""c""]",[]
49172n,"[""c""]",[]
140782c,"[""e""]",[]
45443c,"[""n""]",[]
22938e,"[""c""]",[]
67571c,"[""e""]",[]
5087e,"[""c""]",[]
23769n,"[""c""]",[]
13760n,"[""c""]",[]
2133n,[],[]
117093n,"[""c""]",[]
112402c,[],[]
32754n,"[""c"", ""n""]","[""contradiction""]"
120896n,[],"[""neutral""]"
25437n,"[""c""]",[]
56895c,[],[]
43094c,"[""c"", ""e""]",[]
21834e,"[""c""]","[""neutral""]"
139836n,"[""c""]","[""neutral""]"
57454e,"[""c""]",[]
34573n,"[""c""]","[""contradiction""]"
52278e,"[""c""]",[]
11618c,"[""e""]",[]
118460n,"[""c"", ""n""]","[""contradiction"", ""entailment""]"
54383c,"[""c""]",[]
123751n,"[""n""]",[]
43891n,"[""e""]",[]
113039e,"[""c"", ""n""]",[]
83900e,[],[]
10119e,"[""c""]","[""entailment""]"
21810n,"[""c"", ""n""]",[]
35700c,"[""n""]",[]
109278n,[],"[""neutral""]"
138530e,"[""c""]","[""contradiction""]"
13387e,"[""c"", ""n""]",[]
58557e,"[""n""]",[]
36811c,"[""e""]",[]
73840n,[],[]
31249e,"[""c""]",[]
91913n,[],"[""contradiction""]"
100895c,"[""c""]",[]
837n,"[""c""]",[]
140005c,"[""e""]",[]
38475c,[],[]
141293e,"[""c""]",[]
30139n,"[""c""]",[]
30380c,[],"[""entailment""]"
22436n,[],[]
76037n,"[""c""]","[""contradiction""]"
28456n,"[""e""]",[]
46198c,"[""e""]",[]
100136e,[],[]
24103n,[],[]
142729c,[],[]
96516e,"[""c""]",[]
52761e,"[""c""]",[]
21297n,"[""c""]",[]
98487c,"[""e""]",[]
17179n,"[""c""]",[]
132539e,[],[]
23642n,"[""c""]",[]
84781e,"[""c""]",[]
15771c,"[""c""]",[]
134655c,"[""n"", ""e""]",[]
33822n,"[""c""]",[]
125021c,[],[]
133005n,[],[]
65650e,"[""c""]",[]
3545n,[],[]
105196n,"[""c""]",[]
144753e,"[""c""]",[]
114458e,"[""c""]","[""neutral""]"
49237c,"[""e""]",[]
70047c,"[""c""]",[]
137319n,"[""c"", ""n""]",[]
63013n,"[""n""]",[]
79507e,"[""c""]",[]
121910e,[],"[""contradiction""]"
120323n,"[""c"", ""n""]",[]
50480n,"[""c""]","[""entailment""]"
123027n,"[""c""]",[]
85279n,"[""c""]",[]
121360c,"[""n""]","[""contradiction""]"
56582n,"[""c""]",[]
46650n,[],[]
81579e,"[""c""]","[""contradiction""]"
23414c,[],[]
36715e,"[""c""]",[]
114492n,[],[]
136097n,[],[]
101253c,[],[]
97520e,"[""c"", ""n""]",[]
97569e,"[""c""]",[]
23751c,[],[]
103169n,[],"[""contradiction"", ""neutral""]"
134217e,"[""c""]","[""entailment"", ""neutral""]"
11601n,[],[]
46059c,"[""e""]","[""entailment""]"
82156e,[],[]
30894n,[],[]
122645n,[],"[""contradiction""]"
26142n,"[""c""]",[]
66225n,"[""c""]",[]
134103n,[],[]
117177n,"[""c""]",[]
78105e,"[""c""]",[]
23280e,[],[]
9393n,"[""e""]","[""contradiction""]"
82510c,"[""c"", ""n""]","[""neutral""]"
14459n,"[""c""]",[]
70711c,[],[]
77893n,[],"[""contradiction""]"
20181n,[],[]
137715n,[],[]
109679n,"[""c""]","[""neutral""]"
123891c,"[""e""]",[]
16086n,[],[]
91650n,"[""n""]",[]
85428e,"[""c"", ""n""]",[]
118403n,"[""e""]",[]
105561e,"[""n""]","[""entailment""]"
11303n,"[""c"", ""n""]",[]
11534n,"[""c""]",[]
46198n,"[""e""]",[]
125013e,"[""c""]",[]
44747n,"[""c"", ""e""]",[]
19768c,"[""e""]",[]
53468n,[],"[""contradiction""]"
136752n,[],"[""entailment""]"
10724n,"[""c""]",[]
17753n,[],[]
130928n,"[""c""]",[]
66858n,"[""c""]",[]
28601n,"[""c"", ""n""]",[]
92774n,"[""e""]",[]
142604e,"[""c""]","[""contradiction""]"
42860n,[],[]
77299n,"[""c""]",[]
13765c,"[""n"", ""e""]","[""contradiction"", ""entailment""]"
139362e,"[""c""]","[""entailment""]"
116176c,"[""c""]","[""contradiction""]"
110234e,"[""c""]","[""contradiction""]"
84781c,[],"[""contradiction""]"
41052n,"[""c""]",[]
128160n,[],[]
123038e,"[""c""]",[]
98621n,"[""e""]",[]
97926c,"[""c"", ""n""]",[]
98561e,[],[]
86429n,"[""c""]",[]
105911c,[],[]
126486n,"[""c""]",[]
127809n,"[""c"", ""n""]",[]
28306c,"[""n"", ""e""]","[""entailment""]"
