id,round,labels,llm_ranks,chaosnli_ranks,kendall_tau
122062n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
122322e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 1]",
122645n,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
122928e,round_1,"e,n,c","[2, 1, 2]","[2, 1, 1]",0.49999999999999994
123027n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
123038e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
123267e,round_1,"e,n,c","[3, 2, 1]","[2, 1, 2]",0.0
123703e,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
123748n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
123751n,round_1,"e,n,c","[1, 2, 1]","[2, 1, 2]",-0.9999999999999999
123891c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 3]",0.0
124037n,round_1,"e,n,c","[1, 2, 1]","[2, 1, 3]",-0.816496580927726
124590c,round_1,"e,n,c","[1, 2, 1]","[2, 2, 1]",0.49999999999999994
124839c,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
124853e,round_1,"e,n,c","[1, 1, 2]","[1, 3, 2]",0.0
125013e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
125021c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
125238c,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
12562n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
125700e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
12601n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
126486n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
127073c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
127290n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
127410n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 1]",-0.49999999999999994
127809n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
12815n,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
128160n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
128176e,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
128542e,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
129081e,round_1,"e,n,c","[2, 1, 3]","[3, 2, 1]",-0.33333333333333337
129081n,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
129185n,round_1,"e,n,c","[2, 1, 1]","[1, 1, 2]",-0.49999999999999994
129464c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
129601e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 2]",
129601n,round_1,"e,n,c","[1, 1, 1]","[2, 2, 1]",
130680e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 2]",
130869n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 2]",
130928n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
131235c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 1]",0.9999999999999999
131261n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
13133n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
131623c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
132019n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
132516n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
132525n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
132539e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 1]",-0.9999999999999999
133005n,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
133243e,round_1,"e,n,c","[1, 1, 1]","[2, 1, 1]",
133274n,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
133597n,round_1,"e,n,c","[1, 2, 1]","[3, 1, 2]",-0.816496580927726
13387e,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
134103n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
134217e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
134356n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
134514c,round_1,"e,n,c","[1, 1, 1]","[3, 2, 1]",
134655c,round_1,"e,n,c","[2, 2, 1]","[2, 2, 1]",0.9999999999999999
135021n,round_1,"e,n,c","[1, 2, 2]","[1, 1, 2]",0.49999999999999994
135247c,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
135251n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
135898c,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
136097n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
136360e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
136752e,round_1,"e,n,c","[2, 1, 1]","[1, 2, 2]",-0.9999999999999999
136752n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
137319n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
13760n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
13765c,round_1,"e,n,c","[2, 1, 1]","[1, 2, 1]",-0.49999999999999994
137715n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
138285n,round_1,"e,n,c","[1, 1, 1]","[1, 1, 2]",
138448c,round_1,"e,n,c","[3, 1, 2]","[3, 2, 1]",0.33333333333333337
138530e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
138862c,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
138966n,round_1,"e,n,c","[2, 2, 1]","[3, 1, 2]",0.0
13911n,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
139362e,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
139409e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
139635n,round_1,"e,n,c","[1, 1, 1]","[1, 1, 2]",
13964e,round_1,"e,n,c","[2, 1, 2]","[1, 1, 2]",0.49999999999999994
139836n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
140005c,round_1,"e,n,c","[1, 1, 1]","[2, 2, 1]",
140782c,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
141110n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
14126e,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
141293e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
141321n,round_1,"e,n,c","[3, 1, 2]","[2, 2, 1]",0.0
142430c,round_1,"e,n,c","[1, 2, 2]","[3, 2, 1]",-0.816496580927726
142604e,round_1,"e,n,c","[1, 2, 2]","[2, 1, 2]",-0.49999999999999994
142643c,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
142729c,round_1,"e,n,c","[2, 1, 2]","[2, 2, 1]",-0.49999999999999994
14280n,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
143789n,round_1,"e,n,c","[1, 1, 2]","[2, 2, 1]",-0.9999999999999999
14388e,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
144408n,round_1,"e,n,c","[1, 2, 2]","[3, 2, 1]",-0.816496580927726
14459n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
144753c,round_1,"e,n,c","[1, 1, 2]","[3, 2, 1]",-0.816496580927726
144753e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
144753n,round_1,"e,n,c","[1, 1, 1]","[1, 1, 2]",
145047e,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
145495c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
15100e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
15537n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
15771c,round_1,"e,n,c","[2, 1, 2]","[2, 2, 1]",-0.49999999999999994
16086n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
16494c,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
16989c,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
16996e,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
17179n,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
1735n,round_1,"e,n,c","[1, 1, 1]","[3, 2, 1]",
17576n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
17660e,round_1,"e,n,c","[1, 2, 1]","[1, 1, 2]",-0.49999999999999994
17753n,round_1,"e,n,c","[1, 1, 1]","[1, 1, 2]",
18189e,round_1,"e,n,c","[2, 1, 2]","[1, 1, 2]",0.49999999999999994
18428n,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
19208c,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
19578n,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
19668c,round_1,"e,n,c","[1, 1, 1]","[3, 2, 1]",
19768c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
19803e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
19921n,round_1,"e,n,c","[2, 1, 1]","[1, 1, 2]",-0.49999999999999994
19c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
20181n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
21297n,round_1,"e,n,c","[2, 1, 2]","[1, 1, 2]",0.49999999999999994
2133n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 1]",
21340n,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
21810n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
21834e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
21957n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
22235n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
22436n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
22587e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 2]",0.49999999999999994
2262n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
22938e,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
23280e,round_1,"e,n,c","[1, 2, 2]","[2, 1, 3]",0.0
23280n,round_1,"e,n,c","[1, 2, 1]","[2, 1, 2]",-0.9999999999999999
23414c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
23583e,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
23642n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
23751c,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
23751e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 1]",-0.49999999999999994
23769n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
23901e,round_1,"e,n,c","[2, 1, 1]","[1, 1, 2]",-0.49999999999999994
24103n,round_1,"e,n,c","[2, 1, 3]","[2, 1, 2]",0.816496580927726
24126n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
24163e,round_1,"e,n,c","[2, 1, 2]","[2, 1, 3]",0.816496580927726
24385e,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
25304n,round_1,"e,n,c","[1, 1, 1]","[3, 2, 1]",
25437n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 3]",0.0
26142n,round_1,"e,n,c","[1, 1, 1]","[1, 3, 2]",
26143n,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
26372n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 3]",0.0
26495e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
27022c,round_1,"e,n,c","[2, 1, 2]","[1, 3, 2]",-0.816496580927726
27287c,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
27335e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
28306c,round_1,"e,n,c","[2, 1, 1]","[2, 3, 1]",0.0
28456n,round_1,"e,n,c","[3, 1, 2]","[3, 1, 2]",1.0
28507n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
28601n,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
2870n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 3]",0.0
29844c,round_1,"e,n,c","[2, 2, 1]","[2, 1, 1]",0.49999999999999994
30139n,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
30171n,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
30282n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
30380c,round_1,"e,n,c","[3, 1, 2]","[2, 3, 1]",-0.33333333333333337
30894c,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
30894n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
31113e,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
31249e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
31775c,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
32754e,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
32754n,round_1,"e,n,c","[1, 1, 2]","[1, 3, 2]",0.0
32889n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
33822e,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
33822n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
34043c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
34094e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 2]",
34176n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 3]",0.0
34573n,round_1,"e,n,c","[2, 1, 1]","[1, 1, 1]",
3476n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
34776c,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
3545n,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
35700c,round_1,"e,n,c","[1, 1, 1]","[2, 2, 1]",
35809n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
36715e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
36811c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
37407n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
38156n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 2]",-0.49999999999999994
38475c,round_1,"e,n,c","[1, 1, 1]","[3, 2, 1]",
38477c,round_1,"e,n,c","[1, 1, 2]","[2, 2, 1]",-0.9999999999999999
38527n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
40486n,round_1,"e,n,c","[1, 1, 1]","[1, 1, 2]",
40710n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
41052n,round_1,"e,n,c","[1, 1, 1]","[1, 1, 2]",
41975c,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
42388e,round_1,"e,n,c","[2, 1, 2]","[1, 1, 2]",0.49999999999999994
42860n,round_1,"e,n,c","[1, 1, 1]","[2, 2, 1]",
42983e,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
43094c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 1]",0.9999999999999999
43440n,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
43891n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
44747n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 1]",0.49999999999999994
45306n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
45443c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 1]",0.9999999999999999
45605n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
45774c,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
45957e,round_1,"e,n,c","[1, 1, 2]","[3, 2, 1]",-0.816496580927726
46003n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
46059c,round_1,"e,n,c","[3, 1, 2]","[2, 3, 1]",-0.33333333333333337
46198c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 1]",0.9999999999999999
46198n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
46576e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 2]",0.49999999999999994
46650n,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
46820e,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
47260n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
47404e,round_1,"e,n,c","[2, 1, 1]","[2, 1, 3]",0.0
47408n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
47798n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
48222n,round_1,"e,n,c","[2, 1, 1]","[1, 1, 2]",-0.49999999999999994
48223n,round_1,"e,n,c","[1, 1, 2]","[1, 3, 2]",0.0
48300c,round_1,"e,n,c","[2, 1, 1]","[1, 1, 2]",-0.49999999999999994
48454c,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
48553c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
49172n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
49227n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
49237c,round_1,"e,n,c","[1, 1, 1]","[2, 2, 1]",
49396e,round_1,"e,n,c","[2, 1, 1]","[1, 1, 2]",-0.49999999999999994
49462c,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
49611e,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
49807n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
50480n,round_1,"e,n,c","[1, 1, 1]","[1, 1, 2]",
50484c,round_1,"e,n,c","[1, 1, 1]","[2, 2, 1]",
5087e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
51353c,round_1,"e,n,c","[1, 1, 1]","[2, 2, 1]",
51353e,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
5193n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
52171c,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
52278e,round_1,"e,n,c","[2, 1, 1]","[1, 2, 2]",-0.9999999999999999
52542n,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
52761e,round_1,"e,n,c","[2, 1, 2]","[2, 1, 3]",0.816496580927726
52854n,round_1,"e,n,c","[2, 2, 1]","[2, 1, 3]",-0.816496580927726
53074n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
53211n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 3]",0.816496580927726
53468n,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
53499c,round_1,"e,n,c","[1, 1, 1]","[2, 3, 1]",
53619c,round_1,"e,n,c","[2, 1, 1]","[2, 3, 1]",0.0
53866e,round_1,"e,n,c","[1, 2, 2]","[2, 1, 3]",0.0
54327n,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
54383c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
54458n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 2]",-0.9999999999999999
54811c,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
55572n,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
